"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2555","should sort products by name (A to Z)","","2026-05-13","passed","2026-05-13","Products Page","tests\products.spec.ts","",""
"","2202","should continue shopping","","2026-05-13","passed","2026-05-13","Cart","tests\cart.spec.ts","",""
"","2106","should remove product from cart from products page","","2026-05-13","passed","2026-05-13","Products Page","tests\products.spec.ts","",""
"","2290","should remove an item","","2026-05-13","passed","2026-05-13","Cart","tests\cart.spec.ts","",""
"","2009","should login via fixture","","2026-05-13","passed","2026-05-13","Login","tests\login.spec.ts","",""
"","2025","should show error for locked out user","","2026-05-13","passed","2026-05-13","Login","tests\login.spec.ts","",""
"","2818","should complete checkout flow","","2026-05-13","passed","2026-05-13","Checkout","tests\checkout.spec.ts","",""
"","2298","should show error when missing first name","","2026-05-13","passed","2026-05-13","Checkout","tests\checkout.spec.ts","",""
"","2497","should login with valid credentials","","2026-05-13","passed","2026-05-13","Login","tests\login.spec.ts","",""
"","2121","should show error for invalid credentials","","2026-05-13","passed","2026-05-13","Login","tests\login.spec.ts","",""
"","2670","should display added items","","2026-05-13","passed","2026-05-13","Cart","tests\cart.spec.ts","",""
"","2110","should add product to cart and update cart icon","","2026-05-13","passed","2026-05-13","Products Page","tests\products.spec.ts","",""
